epoch,train_loss,val_loss,lr
1,7.66927,6.76371,0.00049981
2,6.26433,5.7951,0.00049924
3,5.4936,5.25832,0.00049828
4,5.07375,4.9531,0.00049695
5,4.80059,4.74657,0.00049524
6,4.61026,4.59394,0.00049316
7,4.46151,4.48369,0.00049071
8,4.34217,4.40318,0.00048789
9,4.24577,4.32441,0.0004847
10,4.1699,4.26354,0.00048116
11,4.10122,4.21453,0.00047727
12,4.02903,4.16816,0.00047302
13,3.9706,4.12971,0.00046844
14,3.91567,4.09487,0.00046353
15,3.87723,4.06343,0.00045829
16,3.83135,4.0328,0.00045273
17,3.78576,4.01168,0.00044687
18,3.7494,3.9905,0.0004407
19,3.70842,3.96796,0.00043424
20,3.67361,3.94502,0.00042751
21,3.64303,3.93144,0.0004205
22,3.60557,3.91834,0.00041324
23,3.57065,3.90034,0.00040573
24,3.5474,3.88901,0.00039798
25,3.51371,3.88786,0.00039
26,3.49836,3.8699,0.00038182
27,3.47091,3.8582,0.00037343
28,3.44465,3.84586,0.00036486
29,3.42386,3.84108,0.00035612
30,3.39565,3.83396,0.00034721
31,3.36704,3.83098,0.00033816
32,3.35192,3.81838,0.00032898
33,3.33768,3.82141,0.00031968
34,3.31568,3.81712,0.00031028
35,3.28591,3.81451,0.00030078
36,3.26618,3.81042,0.00029122
37,3.25789,3.80792,0.00028159
38,3.24306,3.80314,0.00027192
39,3.22055,3.80037,0.00026222
40,3.20789,3.79702,0.0002525
41,3.19768,3.79643,0.00024278
42,3.17401,3.79367,0.00023308
43,3.16413,3.79759,0.00022341
44,3.15056,3.79729,0.00021378
45,3.13839,3.79754,0.00020422
46,3.11775,3.80079,0.00019472
47,3.10731,3.79855,0.00018532
48,3.10164,3.80256,0.00017602
49,3.0853,3.805,0.00016684
50,3.08571,3.80404,0.00015779
51,3.06259,3.80401,0.00014888
52,3.05555,3.81048,0.00014014
53,3.04891,3.80907,0.00013157
54,3.04315,3.80465,0.00012318
55,3.02535,3.80639,0.000115
56,3.02818,3.813,0.00010702
57,3.01391,3.81558,9.927e-05
