epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,182.659,1.42441,1.80255,1.57602,0.42911,0.49509,0.42339,0.22341,1.57041,1.6601,1.59331,0.00998,0.00332667,0.00998,0.00332667,0.00998,0.00332667,0.00998,0.00332667
2,339.645,1.49361,1.87429,1.67687,0.37744,0.41891,0.3293,0.16236,1.74487,1.91235,1.81436,0.0198481,0.00661604,0.0198481,0.00661604,0.0198481,0.00661604,0.0198481,0.00661604
3,491.804,1.65779,2.16323,1.83337,0.23696,0.24797,0.17618,0.07347,2.12186,2.9328,2.26047,0.0295843,0.00986142,0.0295843,0.00986142,0.0295843,0.00986142,0.0295843,0.00986142
4,641.867,1.70118,2.28614,1.90672,0.33184,0.30377,0.23016,0.11081,1.89402,2.2728,2.08581,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,792.151,1.63961,2.17809,1.84974,0.35713,0.34206,0.28472,0.1482,1.72592,2.08419,1.87731,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,942.312,1.58539,2.10917,1.81604,0.38073,0.38333,0.31609,0.16838,1.65443,1.96266,1.82322,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1092.32,1.54551,2.04477,1.76888,0.36287,0.35471,0.30453,0.16968,1.60874,1.92046,1.75387,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1242.2,1.51326,1.99013,1.74237,0.43136,0.40555,0.35288,0.19102,1.62255,1.9122,1.79266,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1392.15,1.48393,1.9362,1.7219,0.44033,0.42234,0.37616,0.2104,1.5355,1.76589,1.69412,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1542.26,1.45283,1.91263,1.70186,0.41449,0.41406,0.35349,0.19712,1.49963,1.80088,1.67517,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1692.18,1.42755,1.8688,1.67102,0.44306,0.41527,0.38069,0.21269,1.5032,1.77072,1.67894,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1842,1.41108,1.82566,1.66164,0.47178,0.45438,0.41347,0.23447,1.47187,1.65452,1.64782,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1992.06,1.39346,1.80002,1.64589,0.43924,0.43995,0.38854,0.22875,1.42314,1.72714,1.61258,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,2141.97,1.37395,1.79006,1.63604,0.45748,0.46848,0.41155,0.23959,1.41878,1.63004,1.61872,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,2291.89,1.36302,1.75648,1.62154,0.47272,0.48033,0.43463,0.25939,1.39893,1.56496,1.59161,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,2441.67,1.35658,1.74092,1.61328,0.49716,0.49083,0.4539,0.26273,1.41484,1.59523,1.59343,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,2591.52,1.34197,1.72259,1.59753,0.5007,0.4809,0.45889,0.27265,1.38315,1.55059,1.5655,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,2741.39,1.33044,1.69433,1.58207,0.47967,0.482,0.44626,0.26974,1.35104,1.5915,1.54485,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,2891.29,1.32107,1.67749,1.57994,0.51184,0.48173,0.46435,0.27771,1.34307,1.50659,1.54623,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,3041.17,1.31051,1.66281,1.56986,0.49493,0.47812,0.46227,0.28022,1.32955,1.49027,1.52579,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,3191.15,1.29085,1.64067,1.55727,0.50657,0.49699,0.47635,0.28706,1.33126,1.48037,1.51282,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,3341.09,1.2942,1.63061,1.55915,0.50489,0.49539,0.47916,0.29119,1.30676,1.49481,1.503,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,3491.03,1.26812,1.60662,1.54519,0.52447,0.49885,0.49076,0.30352,1.28746,1.43034,1.49566,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,3641.01,1.27091,1.59874,1.54387,0.51203,0.49239,0.48105,0.29557,1.28852,1.46782,1.48501,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,3791.06,1.26443,1.58394,1.53171,0.50243,0.52058,0.49045,0.30049,1.27655,1.43228,1.47557,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,3940.96,1.25562,1.55982,1.52539,0.53501,0.53046,0.52238,0.3225,1.27204,1.39872,1.46742,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,4090.81,1.246,1.55799,1.52202,0.52657,0.53307,0.5111,0.31618,1.26556,1.39093,1.46026,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,4240.64,1.23577,1.53221,1.50912,0.52205,0.53801,0.51759,0.32527,1.25651,1.36832,1.46044,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,4390.53,1.23102,1.52436,1.50531,0.53669,0.5352,0.5203,0.32951,1.24368,1.35872,1.44351,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,4540.4,1.21872,1.52502,1.4986,0.54398,0.55935,0.54212,0.3429,1.23239,1.3264,1.44287,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,4690.28,1.21963,1.50244,1.50218,0.53667,0.55208,0.5356,0.3371,1.23903,1.32669,1.44375,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,4840.17,1.2114,1.49805,1.49217,0.53053,0.56231,0.5357,0.33775,1.22643,1.3254,1.42746,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,4990.07,1.20144,1.47722,1.48117,0.54974,0.55019,0.54139,0.34486,1.20396,1.32532,1.41292,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,5139.96,1.20408,1.4703,1.47927,0.55552,0.55307,0.55233,0.35241,1.21822,1.30325,1.40666,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,5289.83,1.19481,1.44967,1.47423,0.5557,0.56449,0.56111,0.35514,1.2127,1.28344,1.41074,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,5439.75,1.18269,1.44369,1.46911,0.5681,0.56069,0.55902,0.35501,1.20167,1.27671,1.40611,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,5589.58,1.17195,1.42132,1.45799,0.56427,0.57957,0.56666,0.36312,1.1883,1.24886,1.40275,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,5739.44,1.17404,1.41353,1.45686,0.58187,0.56694,0.57256,0.37109,1.17629,1.25225,1.38932,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,5889.3,1.16764,1.39262,1.45263,0.58565,0.57602,0.58151,0.3739,1.17695,1.259,1.38748,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,6039.21,1.17053,1.39765,1.44975,0.58307,0.57569,0.57827,0.37289,1.17115,1.24546,1.38342,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,6188.98,1.15848,1.3862,1.44132,0.59096,0.57487,0.58677,0.38318,1.16963,1.22002,1.37978,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,6339.01,1.14243,1.36556,1.43099,0.59525,0.59857,0.59991,0.39286,1.15761,1.21726,1.3742,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,6488.94,1.14024,1.36164,1.43209,0.60936,0.57863,0.59885,0.38942,1.15084,1.22904,1.3709,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,6638.84,1.13676,1.34449,1.43046,0.60977,0.58431,0.60239,0.39549,1.14589,1.19736,1.36252,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,6788.78,1.13221,1.33685,1.42347,0.62229,0.58453,0.61342,0.40473,1.14035,1.17782,1.35679,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
