epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2587.54,1.39777,1.73392,1.38094,0.55165,0.50882,0.50687,0.3186,1.40054,1.57965,1.31802,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2664.51,1.39388,1.72694,1.37832,0.55729,0.51775,0.5217,0.33083,1.39748,1.54349,1.30686,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2741.27,1.38241,1.70014,1.37559,0.57118,0.53321,0.53563,0.34122,1.38795,1.50291,1.30585,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2818.28,1.38984,1.70015,1.37043,0.57687,0.52868,0.53397,0.33648,1.38665,1.51329,1.29897,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2894.64,1.37052,1.68124,1.36927,0.57224,0.52845,0.53221,0.34105,1.368,1.52672,1.29787,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2970.9,1.35277,1.65507,1.35929,0.59017,0.54787,0.55699,0.35139,1.37273,1.48188,1.29412,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3047.23,1.34711,1.64793,1.35607,0.59374,0.55273,0.5611,0.35771,1.36441,1.45699,1.28544,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3123.57,1.36505,1.64657,1.35526,0.58409,0.5466,0.54769,0.35138,1.36037,1.47688,1.29207,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3199.69,1.34882,1.61657,1.353,0.60213,0.55115,0.56628,0.36515,1.35679,1.43529,1.28539,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3276.02,1.3445,1.59668,1.33901,0.60273,0.5515,0.56699,0.37341,1.34267,1.44929,1.27193,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3352.29,1.32626,1.59832,1.33924,0.60503,0.57041,0.58192,0.37847,1.3352,1.42326,1.26816,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3428.78,1.3317,1.57229,1.33223,0.61478,0.56091,0.58231,0.37811,1.32592,1.41177,1.26089,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3505.09,1.33149,1.55562,1.33531,0.63514,0.56568,0.59499,0.38557,1.3278,1.38868,1.26771,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3581.64,1.3192,1.55937,1.33078,0.62024,0.55834,0.58603,0.38174,1.33549,1.39569,1.26783,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3658,1.31736,1.53036,1.32938,0.63439,0.57692,0.6046,0.39391,1.32111,1.38034,1.25687,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3734.29,1.31233,1.53188,1.31949,0.6381,0.57115,0.60643,0.39806,1.3047,1.35546,1.24483,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3810.41,1.29941,1.4972,1.31696,0.64588,0.5752,0.6068,0.39745,1.30748,1.35877,1.24938,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3886.94,1.30211,1.49264,1.31725,0.65214,0.58084,0.61937,0.40532,1.29149,1.32069,1.23833,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3963.33,1.29585,1.47966,1.3158,0.64443,0.58718,0.61507,0.40786,1.29507,1.32055,1.24323,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4039.56,1.29572,1.45544,1.30896,0.66089,0.5863,0.6253,0.412,1.29481,1.30624,1.23771,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4116.02,1.29034,1.44824,1.29797,0.64979,0.59834,0.62301,0.41625,1.28162,1.32023,1.22942,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4192.34,1.28209,1.42977,1.30407,0.66942,0.60645,0.63679,0.42484,1.28907,1.2865,1.23637,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4268.62,1.2833,1.41811,1.29828,0.67642,0.6005,0.63984,0.42569,1.28704,1.29415,1.22796,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4344.98,1.27105,1.42027,1.29119,0.67529,0.5983,0.63724,0.42775,1.2684,1.31055,1.21789,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4421.25,1.2681,1.41335,1.28492,0.68693,0.59693,0.64258,0.4333,1.26753,1.29429,1.21978,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,4497.72,1.25961,1.3853,1.28454,0.7054,0.59832,0.65502,0.44603,1.26138,1.25764,1.21432,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4573.99,1.25057,1.36771,1.27236,0.70336,0.60817,0.66104,0.44924,1.2561,1.25943,1.20396,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4650.48,1.25612,1.35799,1.271,0.70388,0.60975,0.66112,0.44865,1.25428,1.25026,1.20437,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4726.58,1.23813,1.35718,1.2728,0.71711,0.6146,0.66953,0.45481,1.24902,1.2418,1.20596,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,4802.89,1.23834,1.33563,1.26874,0.72195,0.6145,0.66857,0.45823,1.23798,1.23854,1.19784,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4879.31,1.24451,1.3208,1.26587,0.72194,0.62463,0.67684,0.46529,1.2354,1.21808,1.19379,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,4955.6,1.22399,1.31127,1.25294,0.73044,0.61766,0.67808,0.46891,1.22909,1.22619,1.19132,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5031.95,1.22537,1.29483,1.25393,0.73021,0.61832,0.67806,0.47127,1.22554,1.21745,1.18354,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5108.67,1.22444,1.2861,1.25781,0.73664,0.61535,0.67564,0.47113,1.22169,1.22917,1.18449,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5184.93,1.22505,1.27306,1.24931,0.74,0.61912,0.6828,0.47376,1.22358,1.19778,1.1873,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,5261.31,1.2047,1.26164,1.24726,0.73392,0.62881,0.68556,0.47602,1.21923,1.20146,1.18658,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,5337.57,1.20513,1.23224,1.23681,0.74419,0.62279,0.68732,0.47727,1.21588,1.19845,1.18329,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5414.01,1.19803,1.22822,1.23547,0.74379,0.62544,0.69092,0.48266,1.20825,1.1918,1.17912,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5490.42,1.19246,1.21238,1.23544,0.73889,0.63601,0.69056,0.48391,1.2026,1.18175,1.17134,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5566.59,1.18983,1.19888,1.2296,0.75034,0.63247,0.69452,0.48991,1.19969,1.19071,1.16814,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5643.05,1.17355,1.18529,1.22814,0.76169,0.63176,0.69929,0.49435,1.20011,1.17616,1.16761,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,5719.43,1.17945,1.17945,1.22145,0.76896,0.63348,0.70546,0.4979,1.19486,1.16438,1.16508,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,5795.81,1.16661,1.173,1.22163,0.77031,0.6362,0.70467,0.49843,1.19922,1.16808,1.17138,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,5872.28,1.16634,1.15961,1.2144,0.75529,0.64588,0.70311,0.50033,1.1915,1.18284,1.16412,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,5948.68,1.165,1.1352,1.21426,0.76564,0.64185,0.70786,0.50522,1.18387,1.17679,1.15752,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,6025.05,1.14766,1.11807,1.21083,0.77305,0.64608,0.71175,0.50883,1.18452,1.15383,1.15716,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
