epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5421.26,1.31869,1.69831,1.50533,0.54653,0.54674,0.53427,0.3409,1.3254,1.48642,1.44993,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,5589.12,1.30435,1.67151,1.49504,0.57177,0.54478,0.54972,0.35451,1.29978,1.47598,1.4367,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,5756.65,1.3065,1.67134,1.50079,0.56571,0.54956,0.55162,0.35964,1.29874,1.46382,1.42127,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,5923.96,1.29648,1.64433,1.48851,0.56506,0.56918,0.5549,0.35868,1.30101,1.43618,1.43027,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,6091.38,1.288,1.63849,1.48423,0.58258,0.56446,0.56608,0.36455,1.2892,1.4359,1.4174,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,6258.91,1.27267,1.61315,1.47144,0.58701,0.57366,0.58239,0.3791,1.2782,1.39362,1.41203,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,6426.29,1.27591,1.60271,1.46981,0.57875,0.57259,0.57159,0.3749,1.27131,1.41607,1.41064,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,6593.73,1.27015,1.56594,1.4667,0.6094,0.56696,0.59154,0.3823,1.27678,1.40538,1.41571,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,6761.27,1.27127,1.56828,1.46952,0.6073,0.57085,0.5929,0.38451,1.26746,1.38106,1.39732,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,6928.84,1.26316,1.56502,1.45593,0.59335,0.58671,0.59437,0.39133,1.26397,1.37637,1.40122,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,7096.36,1.24197,1.54737,1.44795,0.62317,0.5832,0.60979,0.40013,1.25257,1.33866,1.38931,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,7264.05,1.24298,1.5378,1.44879,0.63508,0.57976,0.61469,0.40901,1.23243,1.33704,1.37657,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,7431.53,1.24217,1.52148,1.44815,0.61186,0.58991,0.60647,0.40208,1.24326,1.345,1.38833,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,7598.89,1.23921,1.50789,1.43984,0.64118,0.61052,0.63328,0.42375,1.23283,1.28364,1.37505,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,7766.2,1.22893,1.48734,1.43805,0.64633,0.60302,0.63808,0.4247,1.2235,1.27348,1.37127,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,7933.57,1.23111,1.45843,1.42273,0.66563,0.6046,0.64735,0.42959,1.22263,1.2436,1.3573,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
